"id","Edad","GENERO","NUMERO_HIJOS","PROFESION","SERVICIO","TIEMPO_PROPIETARIO","KILOMETRAJE_INSTALACION","Edad Licencia","RELACION_ASEGURADO","CILINDRAJE","CIUDAD","Min(Recorrido (Km))","Min(Frenadas (Uni))","Min(Arrancadas (Uni))","Min(Aceleraciones (Uni))","Min(Exceso Velocidad (Min))","Min(Maxima Velocidad (Km/h))","Min(Tiempo Uso (Min))","Min(Uso Zona (Min))","Min(Fuera Zona (Min))","Min(Colision)","Max(Recorrido (Km))","Max(Frenadas (Uni))","Max(Arrancadas (Uni))","Max(Aceleraciones (Uni))","Max(Exceso Velocidad (Min))","Max(Maxima Velocidad (Km/h))","Max(Tiempo Uso (Min))","Max(Uso Zona (Min))","Max(Fuera Zona (Min))","Max(Colision)","Mean(Recorrido (Km))","Mean(Frenadas (Uni))","Mean(Arrancadas (Uni))","Mean(Aceleraciones (Uni))","Mean(Exceso Velocidad (Min))","Mean(Maxima Velocidad (Km/h))","Mean(Tiempo Uso (Min))","Mean(Uso Zona (Min))","Mean(Fuera Zona (Min))","Mean(Colision)","CLASE","MODELO","SINIESTROS_2016","SINIESTROS_2017","SINIESTROS_2018"
"80461260",43.09,1,1,10,0,1,"5,797",26.14,1,1800,1,2,0,0,0,0,0,6,6,0,0,22,3,4,2,1,99.9,57,55,2,0,7.5,0.63,1.63,0.25,0.13,12.49,21,20.75,0.25,0,0,2008,1,0,0
"14105777",40.15,1,4,3,0,1,"5,9",17.42,1,2500,1,1,0,0,0,0,0,5,0,0,0,50,1,1,0,8,114.7,54,45,54,0,6.16,0.06,0.01,0,0.16,8.26,17.18,13.86,3.32,0,0,2008,0,0,0
"90067237",37.62,1,0,10,0,1,"6,235",0.97,1,1800,1,1,0,0,0,0,0,2,0,0,0,70,4,0,23,27,127.65,60,59,60,1,7.38,0.05,0,2.49,0.14,3.66,21.69,17.5,4.19,0,0,2010,0,0,0
"70788876",27.91,0,0,20,0,1,"6,339",10.17,1,2500,1,0,0,0,0,0,0,0,0,0,0,62,80,5,10,27,123.95,59,59,59,2,6.02,0.23,0.08,1.17,0.22,2.3,20.6,19.02,1.58,0,0,2008,0,0,0
"27332914",32.55,0,2,10,0,1,"6,436",3.66,1,1400,1,0,0,0,0,0,0,0,0,0,0,74,1,1,0,29,129.5,59,0,59,1,21.06,0.11,0.01,0,2.56,33.38,33.01,0,33.01,0.01,0,2008,0,1,0
"36973965",53.14,1,1,8,0,1,"6,532",3.09,0,1500,1,1,0,0,0,0,0,4,0,0,0,55,27,0,15,13,123.95,59,42,59,0,9.26,1.89,0,1.04,0.41,10.79,22.36,7.79,14.57,0,2,2008,0,0,2
"56180641",54.02,1,3,2,0,2,"6,696",6.56,1,1400,1,1,0,0,0,0,0,4,0,0,0,39,2,0,4,1,92.5,58,58,42,0,7.45,0.27,0,0.18,0.02,1.49,20.37,15.79,4.58,0,0,2006,0,0,0
"12748696",73.8,1,2,4,0,0,"6,724",50.19,1,1800,1,1,0,0,0,0,0,3,0,0,0,50,142,0,31,14,129.5,60,58,60,0,9.45,5.85,0,2.18,0.37,9.69,27.01,5.41,21.6,0,2,2008,0,0,0
"62519374",48.42,1,2,12,0,1,"6,747",18.15,1,1600,1,1,0,0,0,0,0,4,0,0,0,47,89,1,4,10,122.1,59,59,59,1,8.47,0.83,0,0.26,0.31,12.83,21.53,19.32,2.21,0,0,2008,1,0,0
"89185711",47.92,0,0,7,0,1,"6,797",3.16,1,1400,5,1,0,0,0,0,0,4,0,0,0,63,24,13,16,24,129.5,60,45,60,0,8.02,0.59,1.77,2.07,0.47,7.75,20.79,12.73,8.06,0,0,2007,0,0,0
